mindat_ID,location name,count,mo_spinel_minerals
285859,"Béchar, Béchar Province, Algeria",2,"Hercynite,Spinel"
264100,"Northwest Africa 4590 Meteorite (NWA 4590), Béchar, Béchar Province, Algeria",2,"Hercynite,Spinel"
131080,"Béjaïa Province, Algeria",1,Spinel
271593,"Tizi-Ouchen, Béjaïa Province, Algeria",1,Spinel
131116,"Bouira Province, Algeria",1,Chromite
294616,"Aumale Meteorite, Bouira Province, Algeria",1,Chromite
17,"Constantine Province, Algeria",1,Magnetite
247502,"Constantine District, Constantine Province, Algeria",1,Magnetite
247503,"Edough-Cap De Fer Massif, Constantine District, Constantine Province, Algeria",1,Magnetite
68177,"Aïn Barbar, Edough-Cap De Fer Massif, Constantine District, Constantine Province, Algeria",1,Magnetite
252359,"Guelma, Constantine Province, Algeria",1,Magnetite
282769,"Djebel Nador, Guelma, Constantine Province, Algeria",1,Magnetite
23,"Nador N'Bails Mine, Djebel Nador, Guelma, Constantine Province, Algeria",1,Magnetite
289359,"Sahara Desert, Algeria",2,"Chromite,Spinel"
285997,"Lakhbi, Sahara Desert, Algeria",2,"Chromite,Spinel"
106228,"Northwest Africa 2046 Martian Meteorite (NWA 2046), Lakhbi, Sahara Desert, Algeria",2,"Chromite,Spinel"
131091,"Sétif Province, Algeria",1,Chromite
269629,"Tadjera Meteorite, Sétif Province, Algeria",1,Chromite
131092,"Skikda Province, Algeria",2,"Hausmannite,Hercynite"
284343,"Azzaba Area, Skikda Province, Algeria",1,Hausmannite
241079,"Djebel Guettara Mn Deposit, Azzaba Area, Skikda Province, Algeria",1,Hausmannite
289349,"Collo, Skikda Province, Algeria",1,Hercynite
285496,"Cape Bougaroun, Collo, Skikda Province, Algeria",1,Hercynite
72852,"Kef Cheraya, Cape Bougaroun, Collo, Skikda Province, Algeria",1,Hercynite
131093,"Tamanghasset Province, Algeria",4,"Magnetite,Spinel,Hercynite,Chromite"
253927,"Acfer 094 Meteorite, Tamanghasset Province, Algeria",2,"Magnetite,Spinel"
257266,"Acfer 217 Meteorite, Tamanghasset Province, Algeria",1,Spinel
123054,"Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",3,"Magnetite,Hercynite,Chromite"
133552,"Atakor Volcanic Massif, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",1,Magnetite
63176,"Adriane Volcano, Atakor Volcanic Massif, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",1,Magnetite
63175,"Akar-Akar Volcano, Atakor Volcanic Massif, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",1,Magnetite
66720,"Gour Oumelalen, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",1,Magnetite
259611,"In Ouzzal, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",1,Hercynite
54764,"Khanfous, In Ouzzal, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",1,Hercynite
133553,"Laouni, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",2,"Chromite,Hercynite"
68515,"Laouni West Intrusion, Laouni, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria",2,"Chromite,Hercynite"
281445,"Tanezrouft, Tamanghasset Province, Algeria",3,"Magnetite,Spinel,Chromite"
31329,"Acfer 059/El Djouf 001 Meteorites, Tanezrouft, Tamanghasset Province, Algeria",2,"Magnetite,Spinel"
243852,"Acfer 182 Meteorite, Tanezrouft, Tamanghasset Province, Algeria",1,Spinel
265481,"Acfer 214 Meteorite, Tanezrouft, Tamanghasset Province, Algeria",1,Spinel
296549,"Ouallen Meteorite, Tanezrouft, Tamanghasset Province, Algeria",1,Chromite
131107,"Tindouf Province, Algeria",2,"Maghemite,Magnetite"
296328,"Gara Djebilet Iron Deposit, Tindouf Province, Algeria",2,"Maghemite,Magnetite"
231939,Angola,3,"Magnetite,Chromite,Spinel"
125556,"Cuanza Sul Province (Kwanza Sul Province), Angola",2,"Magnetite,Chromite"
228189,"Amboim City Council, Cuanza Sul Province (Kwanza Sul Province), Angola",1,Magnetite
278171,"Gabela, Amboim City Council, Cuanza Sul Province (Kwanza Sul Province), Angola",1,Magnetite
145012,"Morros Do Amboim, Gabela, Amboim City Council, Cuanza Sul Province (Kwanza Sul Province), Angola",1,Magnetite
215560,"Sumbe City Council, Cuanza Sul Province (Kwanza Sul Province), Angola",2,"Chromite,Magnetite"
125567,"Catanda, Sumbe City Council, Cuanza Sul Province (Kwanza Sul Province), Angola",2,"Chromite,Magnetite"
125551,"Cunene Province, Angola",1,Chromite
294268,"Ehole Meteorite, Cunene Province, Angola",1,Chromite
125552,"Huambo Province, Angola",2,"Magnetite,Chromite"
286493,"Bailundo City Council, Huambo Province, Angola",1,Magnetite
158061,"Bailundo, Bailundo City Council, Huambo Province, Angola",1,Magnetite
287575,"Jolomba, Huambo Province, Angola",1,Chromite
232038,"Jolomba Meteorite, Jolomba, Huambo Province, Angola",1,Chromite
285295,"Longonjo City Council, Huambo Province, Angola",1,Magnetite
158065,"Mt Chibilundo, Longonjo City Council, Huambo Province, Angola",1,Magnetite
287535,"Mungo City Council, Huambo Province, Angola",1,Magnetite
158063,"Capuia, Mungo City Council, Huambo Province, Angola",1,Magnetite
125554,"Huíla Province, Angola",2,"Chromite,Magnetite"
215559,"Lubango City Council, Huíla Province, Angola",2,"Chromite,Magnetite"
72588,"Mt Bonga (Bonga Carbonatite), Lubango City Council, Huíla Province, Angola",2,"Chromite,Magnetite"
72587,"Mt Tchivira, Lubango City Council, Huíla Province, Angola",1,Magnetite
125615,"Lunda Sul Province, Angola",2,"Chromite,Spinel"
196054,"Catoca Kimberlite Field, Lunda Sul Province, Angola",2,"Chromite,Spinel"
29770,"Catoca Mine, Catoca Kimberlite Field, Lunda Sul Province, Angola",2,"Chromite,Spinel"
125557,"Namibe Province, Angola",1,Magnetite
215554,"Tombwa City Council, Namibe Province, Angola",1,Magnetite
158067,"Virulundo, Tombwa City Council, Namibe Province, Angola",1,Magnetite
36,Antarctica,7,"Hercynite,Spinel,Chromite,Ringwoodite,Magnetite,Maghemite,Magnesiochromite"
281383,"Cumulus Ridge, Antarctica",1,Chromite
262650,"Cumulus Ridge 04071 Meteorite (CMS04071; Cumulus Hills 04071), Cumulus Ridge, Antarctica",1,Chromite
133106,"Eastern Antarctica, Antarctica",7,"Chromite,Ringwoodite,Magnetite,Spinel,Maghemite,Hercynite,Magnesiochromite"
194613,"Adélie Land, Eastern Antarctica, Antarctica",1,Chromite
296148,"Adelie Land Meteorite, Adélie Land, Eastern Antarctica, Antarctica",1,Chromite
243009,"American Highland, Eastern Antarctica, Antarctica",2,"Chromite,Ringwoodite"
233192,"Grove Mts, American Highland, Eastern Antarctica, Antarctica",2,"Chromite,Ringwoodite"
240414,"Grove Mountain 020090 Meteorite (GRV 020090), Grove Mts, American Highland, Eastern Antarctica, Antarctica",2,"Chromite,Ringwoodite"
264906,"Grove Mountain 052049 Meteorite (GRV 052049), Grove Mts, American Highland, Eastern Antarctica, Antarctica",1,Ringwoodite
