mineral_id	mineral_name	mineral_display_name	rruff_chemistry	ima_chemistry	chemistry_elements
1347	Cassedanneite	Cassedanneite	Pb^2+^_5_(V^5+^O_4_)_2_(Cr^6+^O_4_)_2_·H_2_O	Pb_5_(VO_4_)_2_(CrO_4_)_2_·H_2_O	"Pb V O Cr H"
1348	Cassidyite	Cassidyite	Ca_2_Ni^2+^(P^5+^O_4_)_2_·2H_2_O	Ca_2_Ni(PO_4_)_2_·2H_2_O	"Ca Ni P O H"
1349	Cassiterite	Cassiterite	SnO_2_	SnO_2_	"Sn O"
1350	Caswellsilverite	Caswellsilverite	NaCr^3+^S^2-^_2_	NaCrS_2_	"Na Cr S"
1351	Catapleiite	Catapleiite	Na_2_Zr^4+^Si_3_O_9_·2H_2_O	Na_2_Zr(Si_3_O_9_)·2H_2_O	"Na Zr Si O H"
1352	Cattierite	Cattierite	Co^2+^(S_2_)^2-^	CoS_2_	"Co S"
1353	Cattiite	Cattiite	Mg_3_(PO_4_)_2_·22H_2_O	Mg_3_(PO_4_)_2_·22H_2_O	"Mg P O H"
1354	Cavansite	Cavansite	CaV^4+^OSi_4_O_10_·4H_2_O	Ca(V^4+^O)(Si_4_O_10_)·4H_2_O	"Ca V O Si H"
1355	Cavoite	Cavoite	CaV^4+^_3_O_7_	CaV_3_O_7_	"Ca V O"
1356	Caysichite-(Y)	Caysichite-(Y)	(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O	(Ca,Yb,Er)_4_Y_4_(Si_8_O_20_)(CO_3_)_6_(OH)·7H_2_O	"Ca Yb Er Y Si O C H"
1357	Cebaite-(Ce)	Cebaite-(Ce)	Ba_3_Ce_2_(CO_3_)_5_F_2_	Ba_3_Ce_2_(CO_3_)_5_F_2_	"Ba Ce C O F"
1358	Cebollite	Cebollite	Ca_5_Al_2_(SiO_4_)_3_(OH)_4_	Ca_5_Al_2_(SiO_4_)_3_(OH)_4_	"Ca Al Si O H"
1359	Cechite	Čechite	Pb^2+^Fe^2+^V^5+^O_4_(OH)	PbFe^2+^(VO_4_)(OH)	"Pb Fe V O H"
1360	Cejkaite	Čejkaite	Na_4_UO_2_(CO_3_)_3_	Na_4_(UO_2_)(CO_3_)_3_	"Na U O C"
1361	Celadonite	Celadonite	KMgFe^3+^Si_4_O_10_(OH)_2_	KMgFe^3+^Si_4_O_10_(OH)_2_	"K Mg Fe Si O H"
1362	Celestine	Celestine	SrSO_4_	Sr(SO_4_)	"Sr S O"
1363	Celsian	Celsian	BaAl_2_Si_2_O_8_	Ba(Al_2_Si_2_O_8_)	"Ba Al Si O"
1364	Cerchiaraite-(Mn)	Cerchiaraite-(Mn)	Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_]	Ba_4_Mn^3+^_4_(Si_4_O_12_)O_2_(OH)_4_Cl_2_[Si_2_O_3_(OH)_4_]	"Ba Mn Si O H Cl"
5316	Menezesite	Menezesite	Ba_3_MgZr^4+^_4_Nb^5+^_12_O_42_·12H_2_O	Ba_3_MgZr_4_Nb_12_O_42_·12H_2_O	"Ba Mg Zr Nb O H"
1365	Cerianite-(Ce)	Cerianite-(Ce)	CeO_2_	CeO_2_	"Ce O"
1367	Cerite-(Ce)	Cerite-(Ce)	(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_	(Ce,La,Ca)_9_(Mg,Fe^3+^)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_	"Ce La Ca Mg Fe Si O H"
1368	Cerite-(La)	Cerite-(La)	(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_	(La,Ce,Ca)_9_(Fe^3+^,Ca,Mg)(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_	"La Ce Ca Fe Mg Si O H"
1369	Cernyite	Černýite	Cu^1+^_2_Cd^2+^Sn^4+^S^2-^_4_	Cu_2_CdSnS_4_	"Cu Cd Sn S"
1371	Ceruleite	Ceruleite	Cu^2+^Al_4_(As^5+^O_4_)_2_(OH)_8_(H_2_O)_4_	CuAl_4_(AsO_4_)_2_(OH)_8_(H_2_O)_4_	"Cu Al As O H"
1372	Cerussite	Cerussite	PbCO_3_	Pb(CO_3_)	"Pb C O"
1373	Cervandonite-(Ce)	Cervandonite-(Ce)	(Ce^3+^,Nd^3+^,La^3+^)(Fe^3+^,Ti^4+^,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_0.8_(As^3+^O_3_)_1.2_(OH)_0.6_	(Ce,Nd,La)(Fe^3+^,Ti,Fe^2+^,Al)_3_O_2_(Si_2_O_7_)_1-x+y_(AsO_3_)_1+x-y_(OH)_3x-3y_	"Ce Nd La Fe Ti Al O Si As H"
1374	Cervantite	Cervantite	Sb^3+^Sb^5+^O_4_	Sb^3+^Sb^5+^O_4_	"Sb O"
1375	Cervelleite	Cervelleite	Ag_4_TeS	Ag_4_TeS	"Ag Te S"
1376	Cesanite	Cesanite	Ca_2_Na_3_(SO_4_)_3_OH	Ca_2_Na_3_(SO_4_)_3_OH	"Ca Na S O H"
1377	Cesarolite	Cesàrolite	PbMn^4+^_3_O_6_(OH)_2_	PbMn^4+^_3_O_6_(OH)_2_	"Pb Mn O H"
1378	Cesbronite	Cesbronite	Cu^2+^_3_Te^6+^O_4_(OH)_4_	Cu_3_Te^6+^O_4_(OH)_4_	"Cu Te O H"
